
12.17.162.50	08:44 am  Thursday March 10, 2011	30	6	  SECESH FACE +                         
12.17.162.50	10:00 am  Thursday March 10, 2011	30	16	  SECESH FACE +                         
12.17.162.50	10:14 am  Thursday March 10, 2011	30	15	  SECESH FACE +                         
12.17.162.50	10:19 am  Thursday March 10, 2011	30	2	  SECESH FACE +                         
12.17.162.50	10:26 am  Thursday March 10, 2011	30	6	  SECESH FACE +                         
166.7.136.95	02:05 pm  Friday March 11, 2011	30	11	  SANDPOINT EXP STA ID                  
166.7.136.95	02:10 pm  Friday March 11, 2011	30	11	  SANDPOINT EXP STA ID                  
166.7.136.95	02:24 pm  Friday March 11, 2011		77	 SANDPOINT EXP STA ID                   
166.7.136.95	02:25 pm  Friday March 11, 2011		77	 SANDPOINT EXP STA ID                   
166.7.136.95	02:27 pm  Friday March 11, 2011		46	 SANDPOINT EXP STA ID                   
166.7.136.95	02:30 pm  Friday March 11, 2011	30	46	  SANDPOINT EXP STA ID                  
166.4.225.219	12:45 pm  Thursday March 17, 2011	30	14	  MENA AR                               
166.4.225.219	07:53 am  Tuesday March 22, 2011	30	14	  MENA AR                               
24.248.213.64	03:29 pm  Tuesday March 22, 2011	30	43	  LO GAP AR +                           
203.10.59.107	09:23 pm  Wednesday March 23, 2011	30	5	  EVERGLADES FL +                       
137.229.82.28	11:08 pm  Wednesday March 23, 2011	30	1	  FLAGSTAFF WB AP AZ                    
137.229.82.28	11:12 pm  Wednesday March 23, 2011	30	1	  FLAGSTAFF WB AP AZ                    
166.6.156.168	03:13 pm  Friday March 25, 2011	30	5	  AUSTIN 3 S OR                         
24.248.213.64	09:26 am  Monday March 28, 2011	30	43	  LO GAP AR +                           
24.248.213.64	10:28 am  Monday March 28, 2011	30	1	  LO GAP AR +                           
24.248.213.64	10:34 am  Monday March 28, 2011	30	24	  LO GAP AR +                           
24.248.213.64	10:54 am  Monday March 28, 2011	10	43	  LO GAP AR +                           
24.248.213.64	11:10 am  Monday March 28, 2011	30	1	  LO GAP AR +                           
24.248.213.64	11:11 am  Monday March 28, 2011	30	1	  LO GAP AR +                           
