
166.2.16.215	"03:14 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:15 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:17 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:18 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:18 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:19 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:21 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:22 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:23 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:24 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:24 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:25 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:26 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:27 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:28 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:28 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:29 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:37 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:44 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:45 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:49 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:49 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:52 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:53 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:54 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:55 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:56 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:56 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:57 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:58 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:59 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:59 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"04:01 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"04:34 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"04:35 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"04:36 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"04:37 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"04:37 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"04:38 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"04:39 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"04:39 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"04:40 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"04:41 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"04:41 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"04:42 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"04:43 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"04:44 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"04:44 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
206.16.96.16	"11:00 pm  Monday January 3, 2011"	50	"FAIRFIELD  R S ID"	  43.35	-114.80
166.2.16.215	"07:10 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:11 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:12 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:13 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:14 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:15 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:15 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:16 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:17 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:18 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:19 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:20 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:21 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:22 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:22 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:23 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:24 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:25 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:26 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:27 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:28 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:29 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:30 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:30 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:31 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"07:32 am  Tuesday January 4, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
