
193.145.230.8	"09:46 am  Thursday February 11, 2016"	"Alicante Ciudad Jardi, Spain + + +"	  38.37	   0.49
193.145.230.8	"09:46 am  Thursday February 11, 2016"	"alicante_aeropueto +"	  38.28	   0.57
193.145.230.8	"09:52 am  Thursday February 11, 2016"	"Alicante_aerport1, Spain + + +"	  38.28	   0.57
193.145.230.8	"09:52 am  Thursday February 11, 2016"	"Alicante_airport, Spain + +"	  41.97	   2.83
193.145.230.8	"09:52 am  Thursday February 11, 2016"	"Alicante_aeroport,Spain +"	  38.28	   0.57
193.145.230.8	"09:52 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
193.145.230.8	"09:52 am  Thursday February 11, 2016"	"Alicante Ciudad Jardi, Spain + + +"	  38.37	   0.49
193.145.230.8	"09:52 am  Thursday February 11, 2016"	"alicante_aeropueto +"	  38.28	   0.57
193.145.230.8	"09:52 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
193.145.230.8	"09:52 am  Thursday February 11, 2016"	"Alicante_aerport, Spain + +"	  38.28	   0.57
193.145.230.8	"09:53 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
193.145.230.8	"09:54 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
193.145.230.8	"09:55 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
193.145.230.8	"09:56 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
193.145.230.8	"09:58 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
193.145.230.8	"09:58 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
193.145.230.8	"09:59 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
193.145.230.8	"10:00 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
193.145.230.8	"10:02 am  Thursday February 11, 2016"	"Alicante_aerport1, Spain + + +"	  38.28	   0.57
193.145.230.8	"10:02 am  Thursday February 11, 2016"	"alicante_aeropueto +"	  38.28	   0.57
193.145.230.8	"10:02 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
170.144.91.125	"12:38 pm  Thursday February 11, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
170.144.91.125	"12:40 pm  Thursday February 11, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
170.144.91.125	"01:55 pm  Thursday February 11, 2016"	""	  47.93	 113.34
170.144.91.125	"02:02 pm  Thursday February 11, 2016"	""	  47.93	 113.34
170.144.91.125	"02:07 pm  Thursday February 11, 2016"	""	  47.93	 113.34
71.13.218.160	"06:10 am  Saturday February 13, 2016"	"MOUNT SHASTA CA"	  41.32	-122.32
166.7.111.177	"09:35 am  Tuesday February 16, 2016"	""	  47.93	 113.34
166.7.111.177	"11:11 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:11 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:11 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:12 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:12 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:12 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:12 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:12 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:12 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:13 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:13 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:13 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:13 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:13 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:14 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:14 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:14 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:14 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:14 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:15 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
