192.67.133.202	"02:19 pm  Wednesday March 23, 2016"	"HOBBS NM"	  32.70	-103.13
192.67.133.203	"02:19 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.67.133.202	"02:19 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.67.133.201	"02:19 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.67.133.202	"02:20 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
70.210.224.249	"02:20 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.67.133.202	"02:23 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.67.133.202	"02:27 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.67.133.203	"02:40 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.67.133.202	"02:43 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.67.133.202	"02:48 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.67.133.202	"02:49 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.67.133.203	"02:55 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.67.133.202	"03:08 pm  Wednesday March 23, 2016"	"ANIMAS NM"	  31.95	-108.82
192.67.133.202	"03:08 pm  Wednesday March 23, 2016"	"ANIMAS NM"	  31.95	-108.82
192.67.133.202	"03:08 pm  Wednesday March 23, 2016"	"ANIMAS NM"	  31.95	-108.82
192.67.133.203	"03:11 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.67.133.203	"03:11 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.67.133.202	"03:11 pm  Wednesday March 23, 2016"	"ANIMAS NM"	  31.95	-108.82
192.67.133.202	"03:12 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.67.133.202	"03:12 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.67.133.202	"03:16 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.67.133.202	"03:16 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.67.133.202	"03:17 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
207.108.245.250	"03:18 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.67.133.202	"03:18 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.241.87	"03:25 pm  Wednesday March 23, 2016"	"BEAVERHEAD RS NM"	  33.45	-108.12
192.67.133.202	"03:30 pm  Wednesday March 23, 2016"	"ANIMAS NM"	  31.95	-108.82
192.67.133.203	"03:30 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.67.133.203	"03:32 pm  Wednesday March 23, 2016"	"MOUNTAIN PARK NM"	  32.95	-105.83
