67.60.22.79	02:09 pm  Friday June 27, 2014	30	10	  COLVILLE WB AP WA +                   
67.60.22.79	02:09 pm  Friday June 27, 2014		10	 COLVILLE WB AP WA +                    
67.60.22.79	02:10 pm  Friday June 27, 2014	30	10	  COLVILLE WB AP WA +                   
67.60.22.79	02:14 pm  Friday June 27, 2014	30	10	  COLVILLE WB AP WA +                   
67.60.22.79	02:15 pm  Friday June 27, 2014		10	 COLVILLE WB AP WA +                    
67.60.22.79	02:16 pm  Friday June 27, 2014	30	10	  COLVILLE WB AP WA +                   
67.60.22.79	02:29 pm  Friday June 27, 2014		10	 COLVILLE WB AP WA +                    
67.60.22.79	02:29 pm  Friday June 27, 2014	30	10	  COLVILLE WB AP WA +                   
67.60.22.79	02:49 pm  Friday June 27, 2014	30	29	  COLVILLE WB AP WA +                   
64.126.166.246	06:23 pm  Tuesday July 8, 2014	30	7	  MOSCOW U OF I ID                      
69.11.151.178	06:05 am  Wednesday July 9, 2014	30	18	  COLVILLE WB AP WA                     
69.11.151.178	06:06 am  Wednesday July 9, 2014	30	18	  COLVILLE WB AP WA                     
69.11.151.178	06:09 am  Wednesday July 9, 2014	30	18	  COLVILLE WB AP WA                     
69.11.151.178	06:12 am  Wednesday July 9, 2014	30	17	  COLVILLE WB AP WA                     
69.11.151.178	06:13 am  Wednesday July 9, 2014	30	17	  COLVILLE WB AP WA                     
64.126.166.246	12:58 pm  Thursday July 10, 2014	30	16	  COLVILLE WB AP WA                     
64.126.166.246	01:01 pm  Thursday July 10, 2014	30	16	  COLVILLE WB AP WA                     
64.126.166.246	01:04 pm  Thursday July 10, 2014	30	16	  COLVILLE WB AP WA                     
64.126.166.246	01:13 pm  Thursday July 10, 2014	30	16	  COLVILLE WB AP WA +                   
64.126.166.246	01:15 pm  Thursday July 10, 2014	30	16	  COLVILLE WB AP WA +                   
64.126.166.246	01:17 pm  Thursday July 10, 2014	30	16	  COLVILLE WB AP WA +                   
64.126.166.246	01:23 pm  Thursday July 10, 2014	30	99	  COLVILLE WB AP WA +                   
64.126.166.246	01:33 pm  Thursday July 10, 2014	30	99	  COLVILLE WB AP WA +                   
64.126.166.246	01:37 pm  Thursday July 10, 2014	30	10	  COLVILLE WB AP WA +                   
64.126.166.246	01:41 pm  Thursday July 10, 2014	30	93	  COLVILLE WB AP WA +                   
64.126.166.246	01:57 pm  Thursday July 10, 2014	30	93	  COLVILLE WB AP WA +                   
64.126.166.246	02:02 pm  Thursday July 10, 2014	30	93	  COLVILLE WB AP WA +                   
64.126.166.246	02:08 pm  Thursday July 10, 2014	30	93	  COLVILLE WB AP WA +                   
64.126.166.246	02:14 pm  Thursday July 10, 2014	30	93	  COLVILLE WB AP WA +                   
64.126.166.246	02:19 pm  Thursday July 10, 2014	30	93	  COLVILLE WB AP WA +                   
166.6.189.115	09:51 am  Monday July 21, 2014	30	5	  CASCADIA R S OR                       
166.6.189.115	09:54 am  Monday July 21, 2014	30	1	  CASCADIA R S OR                       
166.7.101.119	07:13 am  Thursday July 31, 2014	30	1	  MYSTIC LAKE MT +                      
166.7.101.119	07:40 am  Thursday July 31, 2014	30	2	  MYSTIC LAKE MT +                      
166.5.84.121	10:20 am  Monday August 18, 2014	30	46	  LAKEPORT CA                           
70.210.232.51	08:03 am  Wednesday August 27, 2014	30	5	  BIRMINGHAM WB AP AL                   
70.210.232.51	08:05 am  Wednesday August 27, 2014	30	5	  BIRMINGHAM WB AP AL                   
71.37.134.2	10:27 am  Thursday September 4, 2014	30	8	  COLVILLE WB AP WA +                   
71.37.134.2	10:29 am  Thursday September 4, 2014	30	8	  COLVILLE WB AP WA +                   
71.37.134.2	10:37 am  Thursday September 4, 2014	30	97	  COLVILLE WB AP WA +                   
71.37.134.2	11:07 am  Thursday September 4, 2014	30	118	  COLVILLE WB AP WA +                   
166.7.77.83	01:36 pm  Monday September 22, 2014	30	9	  MOSCOW U OF I ID                      
166.7.77.83	01:42 pm  Monday September 22, 2014	30	1	  MOSCOW U OF I ID                      
166.7.77.83	01:48 pm  Monday September 22, 2014	30	1	  MOSCOW U OF I ID                      
166.7.77.83	01:49 pm  Monday September 22, 2014	30	1	  MOSCOW U OF I ID                      
166.7.77.83	01:54 pm  Monday September 22, 2014	30	9	  HELENA WB AP MT                       
166.7.77.83	01:54 pm  Monday September 22, 2014	30	9	  HELENA WB AP MT                       
166.7.77.83	01:55 pm  Monday September 22, 2014	30	9	  HELENA WB AP MT                       
166.7.77.83	01:59 pm  Monday September 22, 2014	30	9	  DIVIDE 2 NW MT                        
166.7.77.83	02:15 pm  Monday September 22, 2014	30	5	  Poopy + +                             
166.7.77.83	02:15 pm  Monday September 22, 2014	30	5	  Poopy + +                             
166.7.77.83	02:44 pm  Monday September 22, 2014	30	5	  Climate 1 +                           
166.7.77.83	02:46 pm  Monday September 22, 2014	30	5	  Climate 1 + +                         
166.7.77.83	02:46 pm  Monday September 22, 2014	30	5	  Climate 1 + +                         
166.7.77.83	02:47 pm  Monday September 22, 2014	30	5	  Climate 1 + +                         
166.7.77.83	02:51 pm  Monday September 22, 2014	30	5	  DIVIDE 2 NW MT +                      
166.7.77.83	02:58 pm  Monday September 22, 2014	30	5	  Poopy +                               
166.7.77.83	02:58 pm  Monday September 22, 2014	30	5	  Poopy +                               
166.7.77.83	03:05 pm  Monday September 22, 2014	30	5	  Poopy +                               
166.7.77.83	03:06 pm  Monday September 22, 2014	30	5	  Poopy + +                             
166.7.77.83	03:07 pm  Monday September 22, 2014	30	5	  Poopy + + + +                         
166.7.77.83	03:10 pm  Monday September 22, 2014	30	5	  1234 +                                
166.7.77.83	03:10 pm  Monday September 22, 2014	30	5	  1234 +                                
166.7.77.83	03:11 pm  Monday September 22, 2014	30	5	  1234 +                                
166.7.77.83	03:13 pm  Monday September 22, 2014	30	5	  ZZZZZZ +                              
166.7.77.83	03:16 pm  Monday September 22, 2014	30	5	  Poorman +                             
166.7.77.15	11:41 am  Monday September 29, 2014	30	5	  SF Poorman +                          
166.7.77.15	11:46 am  Monday September 29, 2014	30	2	  SF Poorman +                          
166.7.77.15	11:50 am  Monday September 29, 2014	30	7	  SF Poorman +                          
170.144.111.9	08:45 am  Thursday October 2, 2014	30	18	  Radnor +                              
170.144.111.9	09:57 am  Thursday October 2, 2014	30	4	  Radnor +                              
166.7.77.139	12:49 pm  Thursday October 2, 2014	50	2	  LBF-Elliston Climate +                
166.7.77.139	12:52 pm  Thursday October 2, 2014	50	1	  Upper Tenmile Climate +               
166.7.77.139	12:56 pm  Thursday October 2, 2014	50	1	  Telegraph Climate +                   
166.7.77.139	02:57 pm  Thursday October 2, 2014	50	1	  Telegraph Climate +                   
166.7.77.139	02:59 pm  Thursday October 2, 2014	50	2	  Telegraph Climate +                   
166.7.77.139	03:01 pm  Thursday October 2, 2014	50	10	  Telegraph Climate +                   
166.7.77.139	03:10 pm  Thursday October 2, 2014	50	6	  Telegraph Climate +                   
166.7.77.139	03:13 pm  Thursday October 2, 2014	50	22	  Telegraph Climate +                   
166.7.77.139	03:18 pm  Thursday October 2, 2014	50	67	  Telegraph Climate +                   
166.7.77.139	03:24 pm  Thursday October 2, 2014	50	67	  Telegraph Climate +                   
166.7.77.139	03:27 pm  Thursday October 2, 2014	50	9	  Telegraph Climate +                   
166.4.217.53	01:49 pm  Monday October 6, 2014	30	30	  MENA AR                               
70.215.135.132	05:34 pm  Tuesday October 7, 2014	30	20	  MENA AR                               
70.215.135.132	05:57 pm  Tuesday October 7, 2014	30	20	  MENA AR                               
70.215.135.132	06:48 pm  Tuesday October 7, 2014	30	20	  MENA AR                               
70.215.135.132	07:00 pm  Tuesday October 7, 2014	30	20	  MENA AR                               
70.215.135.132	07:04 pm  Tuesday October 7, 2014	30	20	  MENA AR                               
70.215.135.132	07:09 pm  Tuesday October 7, 2014	30	20	  MENA AR                               
70.215.135.132	07:19 pm  Tuesday October 7, 2014	30	20	  MENA AR                               
70.215.135.132	07:30 pm  Tuesday October 7, 2014	30	20	  MENA AR                               
70.215.135.132	07:58 pm  Tuesday October 7, 2014	30	20	  MENA AR                               
70.215.135.132	08:01 pm  Tuesday October 7, 2014	30	20	  MENA AR                               
70.215.135.132	08:04 pm  Tuesday October 7, 2014	30	20	  MENA AR                               
70.215.135.132	08:15 pm  Tuesday October 7, 2014	30	20	  MENA AR                               
70.215.135.132	08:32 pm  Tuesday October 7, 2014	30	20	  MENA AR                               
