
206.123.191.246	"12:15 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"12:15 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"12:16 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.167	"12:16 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.180.167	"12:16 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.180.167	"12:18 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.180.165	"12:18 pm  Wednesday March 20, 2019"	30	"ABERDEEN 2019 +"	  47.27	-123.70
206.123.180.166	"12:19 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.165	"12:23 pm  Wednesday March 20, 2019"	30	"ABERDEEN 2019 +"	  47.27	-123.70
206.123.180.167	"12:24 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.180.165	"12:24 pm  Wednesday March 20, 2019"	30	"ABERDEEN 2019 +"	  47.27	-123.70
206.123.180.166	"12:24 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.165	"12:24 pm  Wednesday March 20, 2019"	30	"ABERDEEN 2019 +"	  47.27	-123.70
206.123.180.167	"12:25 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.191.246	"12:25 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.165	"12:25 pm  Wednesday March 20, 2019"	30	"ABERDEEN 2019 +"	  47.27	-123.70
206.123.180.165	"12:25 pm  Wednesday March 20, 2019"	30	"ABERDEEN 2019 +"	  47.27	-123.70
206.123.180.166	"12:26 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.165	"12:27 pm  Wednesday March 20, 2019"	30	"ABERDEEN 2019 +"	  47.27	-123.70
206.123.180.167	"12:27 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.180.167	"12:30 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA + PRISM +"	  47.27	-123.70
206.123.191.246	"12:31 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA NEWW +"	  47.19	 123.78
206.123.180.166	"12:31 pm  Wednesday March 20, 2019"	30	"Aberdeen Modified 246ft Elev +"	  47.11	 123.78
206.123.180.180	"12:32 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.180.166	"12:32 pm  Wednesday March 20, 2019"	30	"Aberdeen Modified 246ft Elev +"	  47.11	 123.78
206.123.180.165	"12:32 pm  Wednesday March 20, 2019"	30	"ABERDEEN 2019 246 ft +"	  47.11	 123.78
206.123.180.166	"12:32 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.11	 123.78
206.123.180.165	"12:33 pm  Wednesday March 20, 2019"	30	"ABERDEEN 2019 246 ft +"	  47.11	 123.78
206.123.191.246	"12:34 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA NEWW +"	  47.19	 123.78
206.123.180.166	"12:34 pm  Wednesday March 20, 2019"	30	"Aberdeen Modified 246ft Elev +"	  47.11	 123.78
206.123.180.167	"12:34 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA + PRISM +"	  47.27	-123.70
206.123.180.167	"12:35 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA + PRISM +"	  47.27	-123.70
206.123.180.166	"12:35 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.11	 123.78
206.123.180.167	"12:35 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA + PRISM + +"	  47.15	 123.82
206.123.191.246	"12:35 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA NEWW +"	  47.19	 123.78
206.123.180.180	"12:36 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.180.167	"12:36 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +BLAHHH +"	  47.11	 123.78
206.123.180.180	"12:37 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.180.167	"12:38 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +BLAHHH +"	  47.11	 123.78
206.123.191.246	"12:49 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"12:50 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"12:51 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
