166.6.147.13	11:58 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:59 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:59 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	12:00 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
164.64.147.106	03:01 pm  Thursday January 7, 2010	30	  FRUITLAND NM                          	 LATT=  36.73 LONG=-108.40
63.80.176.97	04:32 pm  Thursday January 7, 2010	30	  DENVER WB AP CO                       	 LATT=  39.77 LONG=-104.88
166.6.147.13	04:41 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	04:41 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	04:46 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	04:46 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	04:49 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	04:58 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	04:58 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	04:58 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:02 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:08 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:11 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:11 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:13 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:15 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
