WR	wepp-26911	"01:45 pm  Monday October 23, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-52344	"04:32 pm  Tuesday October 24, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-124956	"Oct 29, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-124961	"00:19 am  Sunday October 29, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-51197	"01:09 am  Wednesday November 1, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-131721	"Nov 3, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-131725	"01:12 pm  Friday November 3, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-216939	"Nov 17, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-216940	"05:57 am  Friday November 17, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-1251	"11:12 pm  Saturday November 18, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-94419	"Nov 24, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-94421	"07:14 am  Friday November 24, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-135527	"08:43 am  Sunday November 26, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-43304	"Dec 5, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-43305	"03:36 pm  Tuesday December 5, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-43332	"03:36 pm  Tuesday December 5, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-169084	"Dec 11, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-169085	"09:29 am  Monday December 11, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-201337	"08:29 am  Wednesday December 13, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-128047	"Dec 16, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-128048	"10:21 pm  Saturday December 16, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-54216	"08:47 pm  Monday December 18, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-159718	"Dec 22, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-159719	"11:35 am  Friday December 22, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-186174	"02:04 am  Wednesday December 27, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-198602	"Dec 27, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-198604	"11:50 pm  Wednesday December 27, 2017"	""	1			0	0	0	0	0	0	0	0		
