172.16.2.116	"00:46 am  Thursday January 10, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
172.16.2.116	"00:47 am  Thursday January 10, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
172.16.2.116	"00:47 am  Thursday January 10, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
172.16.2.116	"00:57 am  Thursday January 10, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
172.16.2.116	"00:58 am  Thursday January 10, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
172.16.2.116	"00:59 am  Thursday January 10, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
172.16.2.116	"00:59 am  Thursday January 10, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
190.103.0.230	"08:44 am  Thursday January 10, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
208.186.200.6	"01:10 pm  Thursday January 10, 2013"	30	"MOSCOW U OF I ID"	  46.73	-117.00
166.7.151.27	"01:10 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
166.7.151.27	"01:10 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
208.186.200.6	"01:11 pm  Thursday January 10, 2013"	3	"MOSCOW U OF I ID"	  46.73	-117.00
166.7.151.27	"01:14 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
166.7.151.27	"01:16 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
166.7.151.27	"01:18 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
166.7.151.27	"01:20 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
166.7.151.27	"01:21 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
166.7.151.27	"01:22 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
166.7.151.27	"01:32 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
166.7.151.27	"01:35 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
166.7.151.27	"01:36 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
166.7.151.27	"01:37 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
166.7.151.27	"01:44 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
166.7.151.27	"01:45 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
166.7.151.27	"01:47 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
166.7.151.27	"01:48 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
166.7.151.27	"01:48 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
166.7.151.27	"01:49 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
166.7.151.27	"01:49 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
166.7.151.27	"01:50 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
166.7.151.27	"01:51 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
208.186.200.6	"01:51 pm  Thursday January 10, 2013"	30	"SEXTON SUMMIT WB OR"	  42.62	-123.37
208.186.200.6	"01:51 pm  Thursday January 10, 2013"	30	"SEXTON SUMMIT WB OR"	  42.62	-123.37
166.7.151.27	"01:52 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
208.186.200.6	"01:52 pm  Thursday January 10, 2013"	30	"SEXTON SUMMIT WB OR"	  42.62	-123.37
166.7.151.27	"01:53 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
208.186.200.6	"01:53 pm  Thursday January 10, 2013"	30	"SEXTON SUMMIT WB OR"	  42.62	-123.37
208.186.200.6	"01:53 pm  Thursday January 10, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
166.7.151.27	"01:54 pm  Thursday January 10, 2013"	30	"TROUT CREEK RS MT +"	  47.91	 115.62
157.55.32.103	"05:36 pm  Thursday January 10, 2013"	1	""		
84.100.90.191	"12:39 pm  Friday January 11, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
88.186.71.152	"12:46 pm  Friday January 11, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
84.100.90.191	"12:48 pm  Friday January 11, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
84.100.90.191	"12:49 pm  Friday January 11, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
88.186.71.152	"12:49 pm  Friday January 11, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
84.100.90.191	"12:51 pm  Friday January 11, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
84.100.90.191	"12:52 pm  Friday January 11, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
84.100.90.191	"12:53 pm  Friday January 11, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
109.20.114.54	"08:45 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"08:46 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"08:47 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"08:48 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"08:48 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"08:50 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"08:52 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"08:55 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"08:57 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"08:58 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"08:58 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"08:59 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"08:59 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"09:00 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"09:00 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"09:00 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"09:01 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"09:01 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"09:02 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"09:04 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"09:05 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
109.20.114.54	"09:07 am  Saturday January 12, 2013"	30	"DENVER WB AP CO"	  39.77	-104.88
82.249.106.101	"04:40 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
82.249.106.101	"04:42 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
82.249.106.101	"04:57 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
82.249.106.101	"04:58 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
