166.7.48.206	01:55 pm  Wednesday April 17, 2013	30	21	  12 Tamarack Project +                 
166.7.48.206	01:59 pm  Wednesday April 17, 2013	30	21	  12 Tamarack Project +                 
166.7.48.206	02:11 pm  Wednesday April 17, 2013	30	41	  12 Tamarack Project +                 
166.7.48.206	02:55 pm  Wednesday April 17, 2013		57	 12 Tamarack Project +                  
166.7.48.206	02:57 pm  Wednesday April 17, 2013	30	57	  12 Tamarack Project +                 
166.7.48.206	03:03 pm  Wednesday April 17, 2013	30	57	  12 Tamarack Project +                 
166.7.48.206	03:13 pm  Wednesday April 17, 2013		45	 12 Tamarack Project +                  
166.7.48.206	03:15 pm  Wednesday April 17, 2013	30	45	  12 Tamarack Project +                 
166.7.48.206	10:31 am  Thursday April 18, 2013	30	84	  12 Tamarack Project +                 
166.7.48.206	10:36 am  Thursday April 18, 2013	30	84	  12 Tamarack Project +                 
166.7.48.206	10:39 am  Thursday April 18, 2013	30	10	  12 Tamarack Project +                 
129.82.114.100	07:00 pm  Sunday April 21, 2013	20	17	  wolf Creek CO +                       
166.7.48.206	03:16 pm  Monday April 22, 2013	30	19	  12 Tamarack Project +                 
166.7.48.206	03:19 pm  Monday April 22, 2013	30	19	  12 Tamarack Project +                 
166.7.48.206	03:21 pm  Monday April 22, 2013	30	19	  12 Tamarack Project +                 
166.7.48.206	07:39 am  Tuesday April 23, 2013	30	6	  12 Tamarack Project +                 
166.7.48.206	08:03 am  Wednesday April 24, 2013	30	9	  12 Tamarack Project +                 
166.7.48.206	08:06 am  Wednesday April 24, 2013		9	 12 Tamarack Project +                  
166.7.48.206	08:06 am  Wednesday April 24, 2013	30	9	  12 Tamarack Project +                 
166.7.48.206	08:13 am  Wednesday April 24, 2013	30	3	  12 Tamarack Project +                 
166.7.48.206	08:41 am  Wednesday April 24, 2013	30	5	  12 Tamarack Project +                 
166.7.48.206	08:42 am  Wednesday April 24, 2013	30	5	  12 Tamarack Project +                 
166.7.48.206	08:43 am  Wednesday April 24, 2013	30	5	  12 Tamarack Project +                 
166.7.48.206	08:53 am  Wednesday April 24, 2013	30	69	  12 Tamarack Project +                 
166.7.48.206	09:27 am  Wednesday April 24, 2013	30	113	  12 Tamarack Project +                 
166.7.48.206	09:35 am  Wednesday April 24, 2013	30	113	  12 Tamarack Project +                 
166.7.48.206	09:47 am  Wednesday April 24, 2013	30	42	  12 Tamarack Project +                 
166.7.48.206	10:35 am  Wednesday April 24, 2013	30	65	  12 Tamarack Project +                 
166.7.48.206	10:38 am  Wednesday April 24, 2013	30	65	  12 Tamarack Project +                 
166.7.48.206	10:42 am  Wednesday April 24, 2013	30	65	  12 Tamarack Project +                 
166.7.48.206	10:54 am  Wednesday April 24, 2013	30	44	  12 Tamarack Project +                 
166.7.48.206	11:37 am  Wednesday April 24, 2013	30	85	  12 Tamarack Project +                 
166.7.48.206	11:44 am  Wednesday April 24, 2013	30	85	  12 Tamarack Project +                 
166.7.48.206	11:48 am  Wednesday April 24, 2013	30	17	  12 Tamarack Project +                 
166.7.48.206	12:10 pm  Wednesday April 24, 2013		32	 12 Tamarack Project +                  
166.7.48.206	12:11 pm  Wednesday April 24, 2013	30	32	  12 Tamarack Project +                 
166.7.48.206	12:13 pm  Wednesday April 24, 2013	30	32	  12 Tamarack Project +                 
166.7.48.206	12:44 pm  Wednesday April 24, 2013		15	 12 Tamarack Project +                  
166.7.48.206	12:44 pm  Wednesday April 24, 2013	30	15	  12 Tamarack Project +                 
