147.46.214.198	"09:31 pm  Wednesday January 24, 2018"	1	""	  -0.00	  -0.00
147.46.214.198	"09:31 pm  Wednesday January 24, 2018"	1	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
106.120.173.144	"07:14 am  Thursday January 25, 2018"	1	""		
100.43.85.106	"08:40 am  Thursday January 25, 2018"	1	""		
161.31.108.61	"03:09 pm  Thursday January 25, 2018"	10	"CONWAY AR"	  35.08	 -92.45
24.84.44.150	"00:33 am  Friday January 26, 2018"	30	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
100.43.85.106	"05:44 am  Friday January 26, 2018"	1	""		
166.2.22.123	"09:39 am  Friday January 26, 2018"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
166.2.22.123	"10:32 am  Friday January 26, 2018"	30	"MENA AR"	  34.58	 -94.25
166.2.22.123	"10:33 am  Friday January 26, 2018"	30	"MENA AR"	  34.58	 -94.25
166.2.22.123	"10:33 am  Friday January 26, 2018"	30	"MENA AR"	  34.58	 -94.25
166.2.22.123	"10:35 am  Friday January 26, 2018"	30	"MENA AR"	  34.58	 -94.25
166.2.22.123	"10:35 am  Friday January 26, 2018"	30	"MENA AR"	  34.58	 -94.25
166.2.22.236	"11:27 am  Friday January 26, 2018"	30	"BugCreek +"	  46.33	 114.34
166.2.22.123	"01:10 pm  Friday January 26, 2018"	30	"MENA AR"	  34.58	 -94.25
100.43.85.106	"11:42 am  Saturday January 27, 2018"	1	""		
123.16.198.136	"08:41 am  Sunday January 28, 2018"	30	"RIO PIEDRAS EXP FARM PR"	  18.42	 -66.07
210.72.68.30	"05:46 pm  Sunday January 28, 2018"	1	""		
210.72.68.30	"05:47 pm  Sunday January 28, 2018"	1	""		
210.72.68.30	"06:03 pm  Sunday January 28, 2018"	1	""		
210.72.68.30	"06:04 pm  Sunday January 28, 2018"	1	""		
210.72.68.30	"06:08 pm  Sunday January 28, 2018"	1	""		
210.72.68.30	"06:11 pm  Sunday January 28, 2018"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
147.46.214.198	"08:33 pm  Sunday January 28, 2018"	5	"CHUPUNG +"	  37.20	 127.57
147.46.214.198	"08:35 pm  Sunday January 28, 2018"	5	"CHUPUNG +"	  37.20	 127.57
147.46.214.198	"08:35 pm  Sunday January 28, 2018"	5	"CHUPUNG +"	  37.20	 127.57
